iter	Passed	Remaining
0	1	1292
1	2	1135
2	3	1049
3	3	994
4	4	943
5	5	905
6	6	878
7	6	860
8	7	844
9	8	834
10	9	823
11	9	814
12	10	805
13	11	800
14	12	798
15	12	795
16	13	791
17	14	787
18	15	784
19	15	783
20	16	780
21	17	781
22	18	779
23	19	777
24	19	774
25	20	773
26	21	771
27	22	769
28	22	767
29	23	765
30	24	763
31	25	760
32	25	758
33	26	756
34	27	755
35	28	754
36	28	753
37	29	751
38	30	751
39	31	750
40	31	748
41	32	747
42	33	745
43	34	744
44	35	743
45	35	742
46	36	741
47	37	741
48	38	740
49	38	739
50	39	738
51	40	737
52	41	736
53	41	735
54	42	734
55	43	733
56	44	732
57	45	731
58	45	731
59	46	730
60	47	729
61	48	727
62	48	726
63	49	725
64	50	724
65	51	725
66	52	725
67	52	726
68	53	727
69	55	732
70	56	734
71	57	736
72	58	736
73	59	738
74	59	738
75	60	739
76	61	739
77	62	740
78	63	740
79	64	739
80	65	739
81	66	739
82	66	739
83	67	739
84	68	739
85	69	738
86	70	738
87	71	737
88	72	737
89	72	734
90	73	735
91	74	735
92	75	736
93	76	735
94	77	735
95	78	735
96	79	735
97	79	736
98	80	736
99	81	736
100	82	735
101	83	736
102	84	736
103	85	736
104	86	736
105	87	736
106	88	740
107	89	740
108	103	849
109	106	862
110	110	884
111	111	886
112	112	886
113	114	888
114	115	888
115	116	886
116	117	884
117	117	881
118	118	879
119	119	877
120	120	876
121	121	873
122	122	871
123	122	868
124	123	865
125	124	863
126	125	861
127	126	860
128	127	858
129	128	857
130	128	855
131	129	854
132	130	852
133	131	850
134	132	848
135	133	846
136	134	844
137	134	842
138	135	840
139	136	838
140	137	836
141	138	835
142	139	833
143	139	832
144	140	830
145	141	828
146	142	827
147	143	825
148	144	824
149	145	824
150	146	823
151	147	822
152	148	821
153	149	819
154	150	817
155	150	816
156	151	814
157	152	813
158	153	814
159	154	813
160	155	811
161	156	810
162	157	808
163	158	806
164	159	805
165	159	803
166	160	802
167	161	800
168	162	799
169	163	797
170	164	796
171	165	795
172	165	793
173	166	791
174	167	790
175	168	788
176	169	786
177	169	784
178	170	783
179	171	781
180	172	780
181	173	778
182	173	776
183	174	774
184	175	772
185	176	772
186	177	771
187	179	774
188	181	778
189	182	777
190	183	775
191	183	774
192	184	772
193	185	770
194	186	768
195	187	767
196	187	765
197	188	763
198	189	762
199	190	760
200	191	759
201	191	757
202	192	756
203	193	755
204	194	753
205	195	752
206	195	750
207	196	749
208	197	747
209	198	745
210	199	744
211	199	743
212	200	741
213	201	740
214	202	738
215	202	736
216	203	735
217	204	733
218	205	732
219	206	730
220	206	729
221	207	727
222	208	726
223	209	724
224	209	722
225	210	721
226	211	720
227	212	718
228	213	717
229	213	715
230	214	714
231	215	712
232	216	711
233	216	709
234	217	708
235	218	706
236	219	705
237	220	704
238	220	703
239	221	701
240	222	700
241	223	699
242	224	697
243	224	696
244	225	695
245	226	693
246	227	692
247	228	691
248	228	690
249	229	688
250	230	687
251	231	685
252	231	684
253	232	683
254	233	681
255	234	680
256	234	679
257	235	678
258	236	676
259	237	675
260	237	673
261	238	672
262	239	671
263	240	669
264	241	668
265	241	667
266	242	666
267	243	664
268	244	663
269	244	662
270	245	661
271	246	659
272	247	658
273	248	657
274	249	656
275	249	655
276	250	654
277	251	653
278	252	652
279	253	651
280	254	650
281	254	648
282	255	647
283	256	646
284	257	645
285	258	644
286	258	643
287	259	641
288	260	640
289	261	639
290	262	638
291	262	637
292	263	636
293	264	634
294	265	633
295	265	632
296	266	631
297	267	630
298	268	628
299	268	627
300	269	626
301	270	625
302	271	624
303	272	622
304	272	621
305	273	620
306	274	619
307	275	618
308	276	617
309	276	616
310	277	614
311	278	614
312	279	613
313	280	612
314	281	612
315	282	611
316	283	610
317	284	609
318	284	608
319	285	607
320	286	606
321	287	604
322	288	603
323	289	602
324	289	602
325	291	602
326	292	602
327	293	601
328	294	600
329	295	599
330	296	598
331	297	597
332	298	597
333	299	596
334	299	595
335	301	595
336	302	594
337	303	593
338	303	592
339	304	591
340	305	590
341	306	589
342	307	588
343	308	587
344	308	586
345	309	585
346	310	584
347	311	583
348	311	581
349	312	580
350	313	579
351	314	578
352	314	577
353	315	576
354	316	575
355	317	574
356	318	573
357	319	572
358	319	571
359	320	569
360	321	568
361	322	567
362	323	567
363	324	566
364	325	565
365	325	564
366	326	563
367	327	562
368	328	561
369	329	560
370	330	559
371	330	558
372	331	557
373	332	556
374	333	555
375	334	554
376	335	553
377	336	553
378	337	552
379	338	551
380	339	551
381	341	551
382	341	550
383	342	549
384	343	549
385	344	548
386	345	547
387	346	546
388	347	545
389	348	544
390	349	544
391	350	543
392	351	543
393	352	542
394	353	542
395	354	541
396	355	540
397	356	539
398	357	538
399	358	537
400	359	536
401	360	535
402	361	534
403	361	533
404	362	533
405	363	532
406	364	531
407	365	530
408	366	529
409	367	528
410	368	527
411	369	526
412	369	525
413	370	524
414	371	523
415	372	523
416	373	522
417	374	521
418	375	520
419	376	519
420	376	518
421	377	517
422	378	516
423	379	515
424	380	514
425	381	513
426	382	512
427	383	512
428	383	511
429	384	510
430	385	509
431	386	508
432	387	507
433	388	506
434	389	505
435	389	504
436	390	503
437	391	502
438	392	501
439	393	501
440	394	500
441	395	499
442	396	498
443	397	497
444	397	496
445	398	495
446	399	494
447	400	493
448	401	492
449	402	491
450	402	490
451	403	489
452	404	488
453	405	487
454	406	486
455	406	485
456	407	484
457	408	483
458	409	482
459	410	481
460	410	480
461	411	479
462	412	478
463	413	477
464	414	476
465	415	475
466	415	474
467	416	473
468	417	472
469	418	471
470	419	470
471	420	470
472	421	469
473	422	468
474	423	468
475	424	467
476	425	466
477	425	465
478	426	464
479	427	463
480	428	462
481	429	461
482	430	460
483	430	459
484	431	458
485	433	457
486	433	457
487	436	457
488	437	457
489	438	456
490	439	455
491	440	454
492	441	453
493	442	453
494	443	452
495	444	451
496	445	450
497	446	449
498	447	448
499	447	447
500	448	446
501	449	445
502	450	444
503	451	443
504	451	442
505	452	441
506	453	440
507	454	439
508	455	438
509	455	437
510	456	436
511	457	435
512	458	435
513	459	434
514	459	433
515	460	432
516	461	431
517	462	430
518	463	429
519	463	428
520	464	427
521	465	426
522	466	425
523	467	424
524	468	423
525	468	422
526	469	421
527	470	420
528	471	419
529	472	418
530	472	417
531	473	416
532	474	415
533	475	414
534	475	413
535	476	412
536	477	411
537	478	410
538	479	409
539	479	408
540	480	407
541	481	406
542	482	406
543	483	405
544	484	404
545	484	403
546	485	402
547	486	401
548	487	400
549	488	399
550	488	398
551	489	397
552	490	396
553	491	395
554	491	394
555	492	393
556	493	392
557	494	391
558	495	390
559	496	389
560	497	389
561	497	388
562	498	387
563	499	386
564	500	385
565	501	384
566	502	383
567	503	382
568	503	381
569	504	380
570	505	379
571	506	378
572	507	377
573	508	377
574	508	376
575	509	375
576	510	374
577	511	373
578	512	372
579	513	371
580	513	370
581	514	369
582	515	368
583	516	367
584	517	366
585	517	365
586	518	364
587	519	364
588	520	363
589	521	362
590	521	361
591	522	360
592	523	359
593	524	358
594	525	357
595	526	356
596	526	355
597	527	354
598	528	353
599	529	352
600	530	351
601	530	351
602	531	350
603	532	349
604	533	348
605	534	347
606	534	346
607	535	345
608	536	344
609	537	343
610	538	342
611	538	341
612	539	340
613	540	339
614	541	338
615	542	337
616	542	337
617	543	336
618	544	335
619	545	334
620	546	333
621	547	332
622	547	331
623	548	330
624	549	329
625	550	328
626	550	327
627	551	326
628	552	325
629	553	325
630	554	324
631	555	323
632	555	322
633	556	321
634	557	320
635	558	319
636	559	318
637	559	317
638	560	316
639	561	315
640	562	314
641	563	314
642	563	313
643	564	312
644	565	311
645	566	310
646	567	309
647	567	308
648	568	307
649	569	306
650	570	305
651	571	305
652	572	304
653	573	303
654	574	302
655	574	301
656	575	300
657	576	299
658	577	298
659	578	297
660	579	297
661	580	296
662	581	295
663	582	294
664	583	293
665	584	292
666	585	292
667	585	291
668	586	290
669	587	289
670	588	288
671	589	287
672	590	286
673	590	285
674	591	284
675	592	284
676	593	283
677	594	282
678	595	281
679	596	280
680	596	279
681	597	278
682	598	277
683	599	276
684	600	276
685	601	275
686	602	274
687	602	273
688	603	272
689	604	271
690	606	271
691	607	270
692	607	269
693	608	268
694	609	267
695	610	266
696	611	265
697	612	264
698	613	263
699	613	263
700	614	262
701	615	261
702	616	260
703	617	259
704	618	258
705	618	257
706	619	256
707	620	255
708	621	255
709	622	254
710	623	253
711	624	252
712	624	251
713	625	250
714	626	249
715	627	248
716	628	247
717	629	247
718	629	246
719	630	245
720	631	244
721	632	243
722	632	242
723	633	241
724	634	240
725	635	239
726	636	238
727	637	238
728	638	237
729	638	236
730	639	235
731	640	234
732	641	233
733	642	232
734	643	231
735	643	230
736	644	230
737	645	229
738	646	228
739	647	227
740	648	226
741	649	225
742	649	224
743	650	223
744	651	223
745	652	222
746	653	221
747	654	220
748	655	219
749	656	218
750	657	217
751	657	216
752	658	216
753	659	215
754	660	214
755	661	213
756	661	212
757	662	211
758	663	210
759	664	209
760	665	208
761	665	207
762	666	207
763	667	206
764	668	205
765	669	204
766	669	203
767	670	202
768	671	201
769	672	200
770	673	199
771	673	199
772	674	198
773	675	197
774	676	196
775	677	195
776	677	194
777	678	193
778	679	192
779	680	191
780	681	191
781	682	190
782	682	189
783	683	188
784	684	187
785	685	186
786	686	185
787	686	184
788	687	183
789	688	182
790	689	182
791	689	181
792	690	180
793	691	179
794	692	178
795	693	177
796	694	176
797	694	175
798	695	174
799	696	174
800	697	173
801	698	172
802	698	171
803	699	170
804	700	169
805	701	168
806	702	167
807	703	167
808	703	166
809	704	165
810	705	164
811	706	163
812	706	162
813	707	161
814	708	160
815	709	159
816	710	159
817	710	158
818	711	157
819	712	156
820	713	155
821	714	154
822	714	153
823	715	152
824	716	151
825	717	151
826	717	150
827	718	149
828	719	148
829	720	147
830	721	146
831	722	145
832	722	144
833	723	144
834	724	143
835	725	142
836	726	141
837	727	140
838	728	139
839	728	138
840	729	137
841	730	137
842	731	136
843	732	135
844	733	134
845	734	133
846	735	132
847	736	131
848	736	131
849	737	130
850	739	129
851	740	128
852	741	127
853	742	126
854	742	126
855	743	125
856	744	124
857	745	123
858	746	122
859	747	121
860	747	120
861	748	119
862	749	119
863	750	118
864	751	117
865	752	116
866	753	115
867	754	114
868	755	113
869	755	112
870	756	112
871	757	111
872	758	110
873	759	109
874	759	108
875	760	107
876	761	106
877	762	105
878	762	105
879	763	104
880	764	103
881	765	102
882	766	101
883	767	100
884	768	99
885	769	98
886	769	98
887	770	97
888	771	96
889	772	95
890	773	94
891	773	93
892	774	92
893	775	91
894	776	91
895	777	90
896	777	89
897	778	88
898	779	87
899	780	86
900	781	85
901	781	84
902	782	84
903	783	83
904	784	82
905	785	81
906	785	80
907	786	79
908	787	78
909	788	77
910	788	77
911	789	76
912	790	75
913	791	74
914	791	73
915	792	72
916	793	71
917	794	70
918	795	70
919	795	69
920	796	68
921	797	67
922	798	66
923	798	65
924	799	64
925	800	63
926	801	63
927	801	62
928	802	61
929	803	60
930	804	59
931	805	58
932	805	57
933	806	56
934	807	56
935	808	55
936	809	54
937	809	53
938	810	52
939	811	51
940	812	50
941	813	50
942	813	49
943	814	48
944	815	47
945	816	46
946	816	45
947	817	44
948	818	43
949	819	43
950	820	42
951	820	41
952	821	40
953	822	39
954	823	38
955	824	37
956	824	37
957	825	36
958	826	35
959	827	34
960	828	33
961	829	32
962	829	31
963	830	31
964	831	30
965	832	29
966	832	28
967	833	27
968	834	26
969	835	25
970	836	24
971	836	24
972	837	23
973	838	22
974	839	21
975	839	20
976	840	19
977	841	18
978	842	18
979	842	17
980	843	16
981	844	15
982	845	14
983	846	13
984	846	12
985	847	12
986	848	11
987	848	10
988	849	9
989	850	8
990	851	7
991	852	6
992	853	6
993	853	5
994	854	4
995	855	3
996	856	2
997	857	1
998	857	0
999	858	0
